title,abstract,organization,investigators,grant_org,grant_money,source,total_participants,male_participants,female_participants,pct_male,pct_female,grant_date,x_axis,y_axis
Mobile-Assisted Cognitive Behavior Therapy for Negative Symptoms in Schizophrenia,Schizophrenia is one of the most devastating diseases known to humankind and is one of the top 10 causes globally of profound functional disability. Negative symptoms of schizophrenia account for much of the poor functional outcome in schizophrenia and are an unmet treatment need in a large proportion of patients. We propose to use an experimental therapeutics approach to test a novel psychosocial intervention that combines in-person and smartphone-based cognitive behavior therapy (CBT) for experiential ... more,University of California San Diego,Eric Granholm,"University Of California, San Diego",3396170,Lab,115,77,38,0.669565217,0.330434783,8/15/16,col_24,row_10
Striatal Connectivity and Clinical Outcome in Psychosis,"Converging lines of evidence suggest a key role for striatal dysconnectivity in the pathophysiology of psychosis. In the proposed study, we will utilize resting state functional magnetic resonance imaging rs-fMRI, as well as fMRI tasks derived from the Research Domain Criteria RDoC framework, to 1 develop and validate a prognostic biomarker to predict antipsychotic treatment response and 2 to model the underlying neural circuitry changes associated with state changes in psychotic symptomatology. ... more",The Feinstein Institute for Medical Research,Anil Malhotra,Feinstein Institute For Medical Research,2781376,Lab,141,77,64,0.546099291,0.453900709,8/15/16,col_24,row_11
Thought disorder and social cognition in clinical risk states for schizophrenia,"In an effort to intervene before psychosis onset and prevent morbidity, a major recent focus in schizophrenia research has been the identification of young people during a putative prodromal period, so as to develop safe and effective interventions to modify disease course. Over the past decade, studies at Columbia and elsewhere have evaluated clinical high-risk CHR individuals across a wide range of cognitive processes to try to identify core deficits of schizophrenia evident before psychosis onset. ... more",Columbia University,Cheryl Corcoran,Icahn School Of Medicine At Mount Sinai,2592715,Lab,116,65,51,0.560344828,0.439655172,8/15/16,col_24,row_12
Preliminary findings suggest the number and volume of supragranular and infragranular pyramidal neurons are similar in the anterior superior temporal area of control subjects and subjects with autism.,We investigated the cytoarchitecture of the anterior superior temporal area (TA2) of the postmortem cerebral cortex in 9 subjects with autism and 9 age-matched typically developing subjects between the ages of 13 and 56 years. The superior temporal gyrus is involved in auditory processing and social cognition and its pathology has been correlated with autism. We quantified the number and soma volume of pyramidal neurons in the supragranular layers and pyramidal neurons in the infragranular layers ... more,,,,,Paper,17,17,0,1,0,8/17/16,col_24,row_13
The Number of Parvalbumin-Expressing Interneurons Is Decreased in the Medial Prefrontal Cortex in Autism.,"UNASSIGNED: The cognitive phenotype of autism has been correlated with an altered balance of excitation to inhibition in the cerebral cortex, which could result from a change in the number, function, or morphology of GABA-expressing interneurons. The number of GABAergic interneuron subtypes has not been quantified in the autistic cerebral cortex. We classified interneurons into 3 subpopulations based on expression of the calcium-binding proteins parvalbumin, calbindin, or calretinin. We quantified ... more",,,,,Paper,20,19,1,0.95,0.05,8/17/16,col_24,row_14
Prefrontal Cortical Engagement and Clinical Effects of non-invasive Direct Current Stimulation for Cognitive Control Impairments in Schizophrenia,"Cognitive deficits are a strong predictor of functional outcome in schizophrenia, yet poorly remediated by current treatments. Disturbances in dorsolateral prefrontal cortex (DLPFC) function underlie core impairments such as in cognitive control and thus represent a critical target for novel therapeutics. Initial studies indicate transcranial direct-current stimulation (tDCS) may be effective in reducing symptoms due to DLPFC dysfunction. While tDCS potentially represents an exciting, novel therapeutic ... more",Baylor College of Medicine,Raymond Cho,Baylor College Of Medicine,850860,Lab,16,8,8,0.5,0.5,8/19/16,col_24,row_15
Trajectories of Aging in Psychotic Disorders Over 27 Years,"Life expectancy is approximately 20 years shorter in schizophrenia and 10 years shorter in mood disorder with psychosis than in the general population, which is almost entirely due to natural-cause mortality. One proposed explanation is that psychotic disorders are associated with accelerated aging. Substantial evidence indicates that this population experiences premature declines in three functional domains internal i.e., age-related medical disorders, cognitive, and physical. However, it is unknown ... more",Stony Brook University,Roman Kotov,State University New York Stony Brook,1529400,Lab,599,326,273,0.544240401,0.455759599,8/19/16,col_24,row_16
Dimensional Brain Behavior Predictors of CBT Outcomes in Pediatric Anxiety,"Impairing anxiety affects 33 percent of the population by adolescence and can become chronic, leading to depression, substance abuse, school-drop out and even suicide. To reduce anxiety and prevent its sequelae, patients must be effectively treated early yet, the first line intervention, cognitive behavioral therapy CBT, has a heterogeneous response with 40-60 percent of treated patients continuing to experience impairment from residual symptoms. The reasons for variability in CBT outcomes remain ... more",University of Michigan,Kate Fitzgerald,University Of Michigan At Ann Arbor,2981538,Lab,145,45,100,0.310344828,0.689655172,8/19/16,col_24,row_17
Reward Systems and Food Avoidance in Adolescents with Low Weight Eating Disorders,"Low weight eating disorders are severe psychiatric disorders that most often develop in adolescence, have a chronic course, and evidence poor response to treatment. A core feature of these disorders is food avoidance which can be conceptualized in the research domain criteria RDoC framework as dysregulation in the dimensional expression of acute threat i.e., food aversion and reward learning i.e., pleasurable response to food absence. Emerging neuroimaging evidence suggests that deficits in insula-amygdala-ventral ... more",Icahn School of Medicine at Mount Sinai,Thomas Hildebrandt,Icahn School Of Medicine At Mount Sinai,1899815,Lab,4,0,4,0,1,8/19/16,col_24,row_18
HCP-A Mapping the Human Connectome During Typical Aging,The major technological and analytical advances in human brain imaging achieved as part of the Human Connectome Projects (HCP) enable examination of structural and functional brain connectivity at unprecedented levels of spatial and temporal resolution. This information is proving invaluable for enhancing our understanding of normative variation in young adult brain connectivity. It is now timely to use the tools and analytical approaches developed by the HCP to understand how structural and functional ... more,Washington University in St. Louis,"Beau Ances, Susan Bookheimer, Randy Buckner, David Salat, Stephen Smith, Melissa Terpstra, Kamil Ugurbil, David Van Essen, Roger Woods",Washington University,3760565,Lab,725,319,406,0.44,0.56,8/19/16,col_24,row_19
Brain Somatic Mosaicism Network Reference Tissue Project,This is a collaborative project where BSMN teams generated DNA sequencing data from tissue originating from a single donor. The goal of the project was to use a variety of experimental protocols to evaluate the rate of false positive somatic variant calls. Materials were provided by the Lieber Institute for Brain Development and consisted of bulk tissue and sorted neuronal and non-neuronal nuclei from the cerebral cortex and dural fibroblasts from a single neuropsychiatric control brain donation,Sage Bionetworks,"Alexej Abyzov, Schahram Akbarian, Andrew Chess, Fred Gage, Joseph Gleeson, John Moran, Peter Park, Jonathan Pevsner, Nenad Sestan, Alexander Urban, Flora M. Vaccarino, Christopher Walsh, Daniel Weinberger",,,Lab,13,2,11,0.153846154,0.846153846,8/19/16,col_24,row_20
Attention Training to Modify ERN and Risk for Anxiety in Adolescence,"Increased error-related brain activity, as indexed by the error-related negativity ERN component of the event-related brain potential, has been proposed as an inherited risk factor for anxiety. Both the ERN and anxiety symptoms increase dramatically during adolescence-our data suggest this is especially true between the ages of 11 and 14. The current study aims to examine whether increased ERN is a mechanism of risk for the development of increased anxiety, and whether the ERN is a modifiable biomarker ... more",San Diego State University,Greg Hajcak and Nader Amir,Florida State University,3240470,Lab,639,336,303,0.525821596,0.474178404,9/1/16,col_24,row_21
"Emergence, Stability and Predictors of Anxiety in Fragile X Syndrome","Given the high prevalence and substantial impact of mental illness on individuals with intellectual disabilities ID studies that examine mental health in persons with ID are critical to direct treatment aimed at reduction and, more importantly, prevention of mental illness to improve functioning and quality of life. Fragile X syndrome FXS is the leading identified cause of ID with up to 80 percent of adolescents and adults with FXS meeting criteria for an anxiety disorder. FXS is an ideal model to ... more",University of South Carolina,Jane Roberts,University Of South Carolina At Columbia,3207273,Lab,49,39,10,0.795918367,0.204081633,9/1/16,col_25,row_01
Stem cell- based studies of gene-environment interactions in PTEN- associated autism,"While autism spectrum disorders ASD are highly heritable, it is clear that there is also a strong environmental component to ASD pathogenesis. ASD is frequently associated with brain enlargement, which is often present at birth and affects multiple cell types, suggesting that dysfunction in an early stem or progenitor population contributes to ASD etiology. We hypothesize that brain enlargement is related to enhanced self-renewal of neural stem cells NSCs leading in turn to increased neurogenesis ... more","University of California, Los Angeles",Harley Kornblum and Julian A. Martinez-Agosto,University Of California Los Angeles,458000,Lab,7,5,2,0.714285714,0.285714286,9/1/16,col_25,row_02
Understanding Family Economic Impact of Chronic Child Health Conditions,"The proposed study will estimate family financial and time costs for families of children with an autism spectrum disorder ASD and will compare these family costs to those experienced by families of children with asthma ATA and families of children with no significant health conditions NSH. Families of children with ASD face financial costs, such as out-of-pocket expenses for medical and other services, as well as time costs from demands related to managing the child's ASD e.g., coordinating health ... more",Kaiser Permanente Center for Health Research,Frances Lynch,Kaiser Foundation Research Institute,2676034,Lab,1461,1152,309,0.788501027,0.211498973,9/1/16,col_25,row_03
Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,"Schizophrenia SCZ is among the most severe and burdensome of medical conditions worldwide. SCZ research to date has succeeded in describing brain abnormalities in patients but has failed to clarify the mechanisms underlying hallucinations and other core psychotic symptoms of this disorder. A fundamental function of the brain is to learn regularities in the environment and predict upcoming events and their contingencies e.g., anticipating hearing a voice when answering the phone. Disruptions in predictive ... more",New York State Psychiatric Institute,Ragy Girgis,New York State Psychiatric Institute,460161,Lab,57,26,31,0.456140351,0.543859649,9/1/16,col_25,row_04
Advancing innovative brain imaging to detect altered glutamate modulation and network dynamics in schizophrenia,"30 lines limit Schizophrenia SZ is one of the most debilitating, life-long mental illnesses with profound societal costs. Current treatment has a limited impact in restoring real-life functions. Biological research in the SZ diathesis has provided evidence of deficits in human brain morphology, function and in vivo biochemistry with altered glutamate Glu transmission with the medial temporal lobe being the primary implicated area emerging as one leading pathophysiologic hypothesis. Glutamatergic ... more",Wayne State University,Jeffrey Stanley,Wayne State University,2897271,Lab,106,73,33,0.688679245,0.311320755,9/1/16,col_25,row_05
Human Trial of Allosteric Modulator Alpha7 Nicotinic Receptors in Schizophrenia,"Schizophrenia SZ is a highly debilitating neuropsychiatric disorder of young adulthood onset and a leading cause of disability worldwide. While treatments delivered at early stages of the disorder may be effective at reducing psychosis or altering the course of the disease, there are currently no biomarkers capable of identifying subjects at ultra-high risk UHR for psychosis who are likely to convert to the full clinical syndrome or those in early stages of SZ who are likely to respond to treatment ... more",Columbia University,Jeffrey Lieberman,New York State Psychiatric Institute,1118298,Lab,74,53,21,0.716216216,0.283783784,9/1/16,col_25,row_06
UNC/UMN Baby Connectome Project,"This application is in response to the RFA-MH-16-160, entitled Lifespan Human Connectome Project (HCP): Baby Connectome. Investigators at The University of North Carolina at Chapel Hill (UNC) and The University of Minnesota (UMN) will join forces to accomplish the goals outlined by this RFA. The team at UNC has over 10 years of experience in recruiting and imaging typically developing and at-risk children, scanning over 1000 children from birth to five years1-40. Well established infrastructure ... more",University of North Carolina at Chapel Hill,"Jed Elison, Weili Lin",Univ Of North Carolina Chapel Hill,3374422,Lab,408,201,207,0.492647059,0.507352941,9/1/16,col_25,row_07
Functions and Development of the Mirror Neuron System,"Function and Development of the Mirror Neuron System Two fundamental abilities are central to adaptive human functioning the ability to deploy actions strategically in the service of goals, and the ability to apprehend the goals of social partners in order to produce adaptive social responses. These abilities emerge in infancy and undergo foundational developments across childhood. Evidence from diverse scientific approaches indicates that these capacities may be supported by a common underlying ... more",University of Maryland,Nathan Fox,"Univ Of Maryland, College Park",5992509,Lab,58,40,18,0.689655172,0.310344828,9/5/16,col_25,row_08
Neurodevelopment and Psychosis in the 22q11.2 Deletion Syndrome,"Schizophrenia and other psychotic disorders are highly disabling conditions with poorly understood pathophysiology. One of the central challenges in elucidating mechanisms of psychosis is its remarkable genetic and phenotypic heterogeneity. Taking a genetics first approach (i.e., ascertaining patients based on a known, homogeneous genetic etiology) may allow us to overcome the barriers posed by this complexity. 22q11.2 deletion syndrome (Velocardiofacial/DiGeorge syndrome; 22q11DS) is a particularly ... more","University of California, Los Angeles",Carrie Bearden,University Of California Los Angeles,1575475,Lab,98,45,53,0.459183673,0.540816327,9/6/16,col_25,row_09
A Simultaneous PET-MR Study of Striatal Dopamine Binding in Autism,"This grant seeks to evaluate striatal dopaminergic functioning during reward processing in autism spectrum disorder ASD through the use of simultaneous positron emission tomography PET and functional magnetic resonance imaging fMRI. Preclinical research strongly implicates impaired mesolimbic dopamine functioning in the etiology of ASD. Additionally, fMRI evidence suggests that ASD is characterized by striatal hypoactivation during reward processing. However, since fMRI is sensitive only to blood ... more",University of North Carolina at Chapel Hill,Gabriel Dichter,Univ Of North Carolina Chapel Hill,447893,Lab,60,47,13,0.783333333,0.216666667,9/6/16,col_25,row_10
Advancing the science and technology of prenatal programming research,"The developmental origins of childhood physical, emotional, and behavioral problems begin in utero. Prenatal experiences program the infant for the context she will encounter upon birth, laying a foundation for health outcomes and disease. However, the biological mechanisms linking the prenatal environment to early infant outcomes remain understudied. The application of epigenetic methods to human behavior is a relatively new and innovative endeavor devoted to understanding how environmental influences ... more",University of Utah,Sheila Crowell,University Of Utah,384233,Lab,325,78,247,0.24,0.76,9/6/16,col_25,row_11
Emerging relations between attention and negative affect in the first two years of life,"The adult and child clinical literature suggests that individuals who are clinically anxious or have high levels of trait anxiety show attention biases to threat. In addition, when these attention biases are experimentally manipulated in the lab, researchers can exacerbate or ameliorate levels of anxious thought and behavior. This has led researchers to argue that attention biases to threat may cause anxiety. However, the degree to which threat-related attention bias represents a down-stream result ... more",Penn State University,Koraly Perez Edgar,Pennsylvania State University-Univ Park,1554636,Lab,394,141,253,0.35786802,0.64213198,9/7/16,col_25,row_12
"The Menopause Transition: Estrogen Variability, HPA axis and Affective Symptoms",Vulnerability to the deleterious mood effects of normal changes in reproductive hormones is a likely underpinning to reproductive mood disorders. The menopause transition MT is associated with pronounced hormonal variability within the context of relative E2 deprivation and substantially increased risk for clinically impairing anxiety and anhedonia. Anxiety is characterized by cognitive bias to interpret ambiguous stimuli in a threat-related manner. Anhedonia can be defined by decreased motivation ... more,University of North Carolina at Chapel Hill,Susan Girdler,Univ Of North Carolina Chapel Hill,3193282,Lab,137,0,137,0,1,9/8/16,col_25,row_13
Chandelier interneurons and the excitation/inhibition balance in the human prefrontal cortex in autism,"Little is known about the pathology of the cerebral cortex in autism. The goal of our previously funded R01 grant was to unravel the pathology of the cerebral cortex in patients with autism. Specifically, we proposed to discover which cell type(s), if any, are altered in the cerebral cortex of human autistic cases. We quantified the number of pyramidal neurons, specific subtypes of interneurons, and glial cells, within each layer of the human temporal and prefrontal cortex in autism. We determined ... more","University of California, Davis",Veronica Martinez Cerdeno,University Of California At Davis,1916586,Lab,40,38,2,0.95,0.05,9/9/16,col_25,row_14
Longitudinal Investigation of Social-Communication and Attention Processes in School-Aged Children at Genetic Risk for Autism,"Autism spectrum disorder ASD affects 1 in 68 children in the United States. Rising along with the prevalence of ASD is the rate of being a sibling of a child with ASD. Multiple previous studies have demonstrated that many first-degree relatives of individuals with ASD experience their own challenges, including not only higher rates of ASD, but also milder social and communication difficulties, attention problems, and mood and anxiety symptoms. In the past decade, multiple investigations, including ... more","University of California, Davis",Sally Ozonoff,University Of California At Davis,3153056,Lab,211,106,105,0.502369668,0.497630332,9/9/16,col_25,row_15
High Performance Imaging for Assessment of Small Vessel Disease in Older Adults with Depression,"Depression target disease of this proposal affects 34 million Americans including 2 million seniors per year. It is a leading cause of morbidity and mortality in older adults target population of this proposal. The vascular depression hypothesis proposed in 1998 remains the most salient theory explaining the onset and perpetuation of depression in older adults. This model is based on the observation that in older adults, white matter hyper intensities a hallmark of small vessel disease, SVD are associated ... more",University of Pittsburgh,Tamer Ibrahim and Howard J. Aizenstein,University Of Pittsburgh At Pittsburgh,1356714,Lab,61,24,37,0.393442623,0.606557377,9/13/16,col_25,row_16
Effectiveness of Task Shifting to Peer Delivery of Behavioral Activation for Depression among Pregnant Women,"Depression is a prevalent problem during pregnancy, 1,2 with adverse and potentially enduring correlates and consequences for mothers and infants 3 however, there is a persistent failure to provide intervention for the majority of depressed pregnant women,4 despite the fact that efficacious behavioral interventions exist. A widely recognized barrier to treatment engagement is the lack of effective, available care that is well aligned with women's preferences. 5 Pregnant women prefer care that is ... more",University of Colorado Boulder,Sona Dimidjian,University Of Colorado,716405,Lab,37,0,37,0,1,9/14/16,col_25,row_17
Autism Clinical and Genetic Resources in China (ACGC),"Recurrent sporadic mutations are important risk factors for autism spectrum disorders (ASD) but have been primarily investigated in European cohorts. Here, we sequenced 189 risk genes in 1,543 Chinese ASD probands (1,045 from trios) and find novel recurrences of potential pathogenic significance.",University of Washington,Evan Eichler and Kun Xia,,,Lab,1647,1445,202,0.877352763,0.122647237,9/14/16,col_25,row_18
Harm avoidance and incompleteness as dimensional endophenotypes in anxiety and OC spectrum disorders,"Obsessive Compulsive OC spectrum and anxiety disorders are the most prevalent psychiatric conditions in the United States. The economic costs of these disorders to society are enormous, accounting for 31 percent of total mental health costs. In spite of the development of effective cognitive behavioral and pharmacologic treatments, a substantial portion of patients remain ill. The limitations of symptom and diagnosis based approaches in understanding the underlying pathobiology of anxiety and OC ... more",Brown University,Steven Rasmussen,Brown University,3502774,Lab,186,46,140,0.247311828,0.752688172,9/15/16,col_25,row_19
Functional Anatomic Studies of Self-Affect: A Multimodal Approach,"How the self is experienced is central to healthy emotional functioning as well as many disturbances in psychological functioning. This competing renewal uses structural, functional, and resting-state neuroimaging, coupled with passive smartphone sensing technology and ecological momentary assessments, to examine the affective components of self. Understanding the factors that contribute to changes in the affective aspects of self that result from environmental stressors has the potential to provide ... more",Dartmouth College,James V. Haxby,Dartmouth College,3283673,Lab,298,92,206,0.308724832,0.691275168,9/15/16,col_25,row_20
"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning","Our overarching goal is to understanding how stored memories change as a function of experience. The pro-posed work builds on prior research showing a U-shaped relationship between memory activation and learn-ing, whereby strong activation leads to synaptic strengthening, moderate activation leads to synaptic weaken-ing, and no activation leads to no change in synaptic strength. The present grant focuses on the implications of this U-shaped relationship for representational change Learning is not ... more",Princeton University,Kenneth Norman,Princeton University,1919481,Lab,239,91,148,0.380753138,0.619246862,9/19/16,col_25,row_21
A Computerized Intervention Targeting Cognitive Control Network Deficits in Depression,"Project EVO or EVO is a mobile 3D video game that has been shown to reduce older adults susceptibility to interference by augmenting sustained attention and working memory abilities e.g. cognitive control through targeted adaptive algorithms. The combination of peer-reviewed validity, adaptivity, and fun video game mechanics elevates the EVO platform beyond other at-home training tools while reducing burden associated with tedious task replication. We propose to study EVO as a potential intervention ... more",University of Washington,Patricia Arean,University Of Washington,1253106,Lab,48,19,29,0.395833333,0.604166667,9/19/16,col_26,row_01
A new treatment for minimally verbal girls with ASD,"Fewer females than males are diagnosed with autism spectrum disorder, and fewer females have been enrolled in treatment studies. As a result, it is not clear if commonly used interventions are equally effective for females. This study will examine the feasibility and preliminary efficacy of Social Engagement Therapy SET in a sample of minimally verbal girls with ASD. SET is a brief, structured behavioral intervention, based on applied behavior analysis, and is designed to increase social communication ... more",Children's Healthcare of Atlanta,Tom Cariveau,,,Lab,9,0,9,0,1,9/19/16,col_26,row_02
Targeted sequencing identifies 91 neurodevelopmental disorder risk genes with autism and developmental disability biases,"Gene-disruptive mutations contribute to the biology of neurodevelopmental disorders (NDDs), but most pathogenic genes are not known. We sequenced 208 candidate genes from >11,730 patients and >2,867 controls. We report 91 genes with an excess of de novo mutations or private disruptive mutations in 5.7% of patients, including 38 novel NDD genes. Drosophila functional assays of a subset bolster their involvement in NDDs. We identify 25 genes that show a bias for autism versus intellectual disability ... more",,,,,Paper,15561,10890,4671,0.699826489,0.300173511,9/19/16,col_26,row_03
Functional Neuroanatomy Correlates of Worry in Older Adults,"Severe worry, a transdiagnostic symptom particularly pernicious for the health of older adults, is associated with increased risk of conversion from mild cognitive impairment to Alzheimer's disease, and with increased risk of stroke and other cardiovascular events. Severe worry, defined as intense, uncontrollable worry associated with interruption in functioning and reduced quality of life, is surprisingly prevalent in the community, with 20 percent of older adults reporting severe worry. While there ... more",University of Pittsburgh,Carmen Andreescu,University Of Pittsburgh At Pittsburgh,1499967,Lab,165,58,107,0.351515152,0.648484848,9/20/16,col_26,row_04
Mobile Eye-Tracking as a Tool for Studying Socioemotional Development: Threat-related Attention in a Social Context,"The adult and child clinical literature suggests that individuals who are clinically anxious or have high levels of trait anxiety show attention biases to threat. In addition, researchers can exacerbate or ameliorate levels of anxious thought and behavior by experimentally manipulating attention biases in the lab. This has led researchers to argue that attention biases to threat may cause anxiety. These studies are an important and useful proof of concept for the role of attention in the emergence ... more",Penn State University,Koraly Perez Edgar,Pennsylvania State University-Univ Park,432300,Lab,161,88,73,0.546583851,0.453416149,9/20/16,col_26,row_05
Neural mechanisms of social distance in psychosis,"One of the most debilitating features of psychotic disorders is the impairment in social functioning that can begin very early in the illness. Unfortunately, there are no effective treatments available for these impairments. This is in part because their neurobiological basis is not understood. However, recent advances in social neuroscience and neuroimaging have provided novel avenues for understanding the neural circuitry involved in generating social behavior. One general approach often used in ... more",Massachusetts General Hospital,Daphne Holt,Massachusetts General Hospital,3241832,Lab,133,80,53,0.601503759,0.398496241,9/21/16,col_26,row_06
Kansas Intellectual and Developmental Disabilities Research Center,"The Kansas Intellectual and Developmental Disabilities Center KIDDRC supports rigorous and high-impact basic and applied research within themes that are relevant to the etiology, identification, prevention, and treatment of intellectual and developmental disabilities IDD. The Center is organized around projects that fall into four basic themes 1 Language, Communication Disorders, and Cognition, 2 Risk, Intervention, and Prevention, 3 The Neurobiology of IDD, and 4 Cellular and Molecular Biology of ... more",University of Kansas,John Colombo,University Of Kansas Lawrence,5096186,Lab,34,26,8,0.764705882,0.235294118,9/22/16,col_26,row_07
A Novel Cognitive Reappraisal Intervention for Suicide Prevention,"The goal of this project is to refine and test a novel emotion-regulation based psychosocial intervention designed to reduce suicide risk in middle-aged and older adults 50-90 years old who have been discharged after a suicide-related hospitalization i.e. for suicidal ideation or suicide attempt. Suicide rates in this group are alarmingly high, and reducing suicide rates in at-risk populations is a major NIMH priority. We developed a novel psychosocial intervention called Cognitive Reappraisal Intervention ... more",Weill Medical College of Cornell University,Dimitris Kiosses,Weill Medical Coll Of Cornell Univ,2951430,Lab,51,15,36,0.294117647,0.705882353,9/23/16,col_26,row_08
Regulating Emotional Responses to Spoken Comments and Visual Images Across the Affective Instability Spectrum: An fMRI Study,"Project Emotionally distressing, aversive or painful experiences are a part of everyday life experience. Crucial to emotional resilience is the capacity to voluntarily regulate ones emotional reaction to such experiences. Some people, however, have difficulty modulating their emotional reactions and are subject to sudden, extreme emotional states, especially in response to interpersonal events. This vulnerability, referred to as affective instability AI, is prototypic of borderline personality disorder ... more",Icahn School of Medicine at Mount Sinai,Harold Koenigsberg,Icahn School Of Medicine At Mount Sinai,3096757,Lab,56,23,33,0.410714286,0.589285714,9/23/16,col_26,row_09
Longitudinal Assessment of Post-traumatic Syndromes. AURORA Project,"Each year, more than 40 million Americans present to US emergency departments EDs for evaluation after trauma exposure TE. While the majority of these individuals recover, an important subset develops adverse posttraumatic neuropsychiatric sequel ae APNS. These APNS include traditionally categorized outcomes such as posttraumatic stress disorder PTSD, depression, minor traumatic brain injury MTBI, and regional or widespread pain. However, these previous definitions of outcome have limited progress, ... more",University of North Carolina at Chapel Hill,Samuel Mclean,Univ Of North Carolina Chapel Hill,16378753,Lab,2101,795,1306,0.378391242,0.621608758,9/23/16,col_26,row_10
Impact of Trauma Exposure on Critical Periods in Brain Development and Fear Processing in Children,"Childhood trauma exposure constitutes a major risk factor for subsequent psychopathology, including depression, posttraumatic stress disorder, substance abuse, personality disorders, and schizophrenia. Violence exposure in low-income, urban populations can occur early in life, increasing risk for trauma exposure in children living in inner-city areas. While it is shown that early adverse experiences affect brain activation and connectivity as well as fear physiology during development in children, ... more",Wayne State University,Tanja Jovanovic,Emory University,1649554,Lab,73,41,32,0.561643836,0.438356164,9/23/16,col_26,row_11
Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,"Memory impairment occurs in a variety of neuropsychiatric conditions e.g., depression and schizophrenia and in many neurologic disorders e.g., neurodegenerative disease and brain injury, often with devastating consequences for life quality. The goal of this project is to determine optimal dosing parameters for a new procedure involving the noninvasive enhancement of human hippocampal-cortical brain networks that critically support memory. This noninvasive brain-stimulation procedure, HFN-Stim, can ... more",Northwestern University,Joel Voss,Northwestern University At Chicago,1575625,Lab,123,45,78,0.365853659,0.634146341,9/23/16,col_26,row_12
Dose Dependent Response of Cerebellar Transcranial Magnetic Stimulation,"Repetitive transcranial magnetic stimulation rTMS is an emerging technology for the treatment of neurological and psychiatric illnesses. Recent interest has shifted to the cerebellum, where initial promising therapeutic investigations have been made disease such as schizophrenia and ataxia. Despite these developments, the understanding of which parameters are best suited to stimulate the cerebellum remains a mystery. Our proposal seeks to understand the relevant dose parameters of repetitive cerebellar ... more",Beth Israel Deaconess Medical Center (BIDMC),Mark Halko,Mclean Hospital,1719881,Lab,44,17,27,0.386363636,0.613636364,9/23/16,col_26,row_13
Optimizing peripheral stimulation parameters to modulate the sensorimotor cortex for post-stroke motor recovery,"Stroke is the leading cause of disability in the United States, with approximately 700,000 new cases per year. Disability from upper limb impairment depends primarily on loss of hand function and finger dexterity. Despite advances in task-specific training for the upper limb, a large number of stroke patients do not regain full function of their hand. Somatosensory peripheral nerve stimulation PNS is a promising approach to target recovery of hand motor function in stroke patients. Both short-term ... more","University of California, San Francisco",Karunesh Ganguly,"University Of California, San Francisco",2025908,Lab,19,15,4,0.789473684,0.210526316,9/23/16,col_26,row_14
"7T MRI to reveal structural, connectomic and metabolic imaging markers for the neurobiology of depression","Major depressive disorder MDD affects 6.7 percent of the U.S. adult population and costs an estimated 104 billion per year. Despite this tremendous impact on society, the biological mechanisms of MDD are still poorly understood and consequently treatment options are limited and often ineffective. There is a clear need to establish the abnormalities in the regions and circuits of the brain associated with MDD in order to enable the development of more effective, bio-logically targeted treatments. ... more",Icahn School of Medicine at Mount Sinai,Priti Balchandani,Icahn School Of Medicine At Mount Sinai,2103874,Lab,64,40,24,0.625,0.375,9/23/16,col_26,row_15
Study of early brain alterations that predict development of chronic PTSD,"Millions of Americans survive traumatic events 1. Symptom trajectories over the initial year after trauma can lead to development of chronic post-traumatic stress disorder PTSD or to a recovery free of PTSD 2-16. Neuroimaging studies indicate chronic PTSD symptoms are associated with changes in brain function and structure 17-32 consequently, recognition of early post-trauma brain changes provides an opportunity to predict chronic PTSD 33-35. Identification of brain changes that underlie post-trauma ... more",The University of Toledo Health Science Campus,Xin Wang,University Of Toledo Health Sci Campus,2128851,Lab,277,96,181,0.346570397,0.653429603,9/23/16,col_26,row_16
Objective Measurement of Challenging Behaviors in Individuals with ASD,"Aggressive, self-injurious, and disruptive behaviors are a common referral concern among individuals with Autism Spectrum Disorder ASD. These behaviors limit access to educational services and community resources, prevent the development of adaptive behavior, restrict opportunities for socialization, and drastically affect quality of life for families and long-term outcomes for the individuals. There is a critical need fr direct, continuous, and objective measures of these behaviors that are sensitive ... more",Emory University School of Medicine,Nathan Call,Emory University,388802,Lab,37,31,6,0.837837838,0.162162162,9/23/16,col_26,row_17
Structural Development of Human Fetal Brain,"Despite its critical significance, little is known about the most dynamic phase of brain development in infancy 0-2 years. To change the status quo, comprehensive and quantitative infant brain atlases as reference standards for precision health are needed. In addition, diffusion MRI dMRI has entered a new era in which dynamic cortical internal microstructural complexity, indexed by e.g. cortical mean kurtosis derived from diffusion kurtosis imaging DKI, can be studied in the living infant brain noninvasively ... more",Children's Hospital of Philadelphia,Hao Huang,Childrens Hosp Of Philadelphia,2673477,Lab,102,57,45,0.558823529,0.441176471,9/26/16,col_26,row_18
Neural Mechanisms for Social Interactions and Eye Contact in ASD,"Social interaction and communication begin in early infancy, and, although these are fundamental human functions, little is known about the underlying neural mechanisms that regulate them particularly in Autism Spectrum Disorder ASD. ASD is a neurodevelopmental disorder characterized by significant disabilities in language and social skills, and the specific neural mechanisms that lead to these disabilities remain active topics for investigation. Emerging theoretical directions converge on problems ... more",Yale University School of Medicine,Joy Hirsch,Yale University,3197009,Lab,12,10,2,0.833333333,0.166666667,9/26/16,col_26,row_19
